date,username,title,rating,review
2017-11-09,thelittlesongbird,This is a television show?,10,"was over,time on a gradual binge of watching 'game of thrones' from the first episode (gradual because of being so busy), having heard nothing but amazing things about it from friends, family and imdb reviewers. plus with such a great cast of talent and a brilliant book series, how could it possibly go wrong? the good news is that 'game of thrones' didn't go wrong. quite the opposite. not only is it a rare television show that does its original source material justice and treats it with respect but it is on its own merits one of the finest, most addictive and consistently compelling shows in recent years. a television show so brilliant that one has to actually check that it was made for television when everything is done to such a high level that it puts many films made today to shame. this is one of the strongest examples of an acclaimed show that deserves every ounce of the praise it's garnered.visually, 'game of thrones' looks amazing. the scenery is throughout spectacular, the sets are hugely atmospheric and beautiful on the eyes with a real meticulous eye for detail and the costumes suit the characters to a tee. then there are the special effects that are some of the best of any television programme and are not overused or abused, the scale, the detail and how they actually have character and soul are better than those in a lot of the big-budget blockbusters. as well the cinematography and editing, which are cinematic quality as well.one cannot talk about 'game of thrones' without mentioning the thematically, orchestrally and atmospherically multi-layered music scoring and the unforgettable main theme. again, worthy of a high-budget fantasy/action/drama film.it is hard not to be bowled over by the quality of the writing, outstanding isn't a strong enough adjective to describe how good the writing is. it always has a natural flow, is layered and thought-provoking and demonstrates a wide range of emotions such as suspenseful tension, poignant pathos and witty humour. the story-lines are paced so beautifully, structured with such nuance and attention to coherence, a high emotional level and touch upon complex and sensitive themes with intelligence and tact.whenever there's a set-piece or more action-oriented scene there's always a reason, never there for the sake of it. not only are the set-pieces done with a lot epic scale, superb staging, excitement and dramatic tension but underneath all the scale and flashy attention to detail there is a lot of heart and a multi-layered one. they're not overlong, nor are there out of place elements.characters are a huge part of the appeal too. 'game of thrones' has characters that are so well developed and as close to real life as one can get despite being in a fantasy world. these characters are not hero and villain archetypes (joffrey is the only one close to that, the difference though is that he is an extremely interesting one with a lot of development who ranks well beyond one hundred percent on the threat level scale), they have much more to them and have strengths and flaws. decisions are logical and one doesn't like any character any less when a decision is not the right one because mistakes are acknowledged and learnt from.'game of thrones' cast is full of talented names and, thanks to so well rounded characters and such great writing, nothing but the very best is gotten out of them. even those who are not favourites of mine. big acting standouts are peter dinklage, sean bean, lena headey and jack gleeson (joffrey being the king of all young characters with not a redeeming bone in their body).in conclusion, absolutely outstanding and a rare television show worthy of being a cinematic modern classic. this review may sound superlatively hyperbolic, but to me 'game of thrones' is that good. 10/10 bethany cox"
2012-04-27,leofwine_draca,TV par excellence,10,"season onean outstanding television drama that helps set a new benchmark in terms of quality. the complex storyline involves the battle for supremacy between various political factions who dominate a worldscape that's as involved and complex as anything tolkien could muster up. each episode is riven with treachery, backstabbing, allegiances, betrayals, friendships and battle.there are 10 episodes in this first season and every one's a stunner, perfectly paced with a mix of exposition and action. the scripts are intelligent and insightful; each writer knows that it's the characters who make or break a show, and every single one of them is interesting and engaging. despite the huge cast, it's easy to become familiar with the main players. it's hard to single out any actor for praise: sean bean, lena headey, mark addy, maisie williams, emilia clarke, aiden gillen, iain glen; none of them put a foot wrong, they each inhabit their role with so much depth that you forget about the actor and focus on the character instead. peter dinklage is perhaps the luckiest, capturing a truly scene,stealing character with wit and warmth.season twoit's impossible to say too much about the many twists, surprises and genuine shocks in the show without spoiling it, but overall game of thrones remains a realistic, harrowing and exceptionally involving piece of television. a complex tableau of characters is woven and yet despite the complexity of geography, politics, allegiances and history, the viewer is never left confused, not even for a second. season 2 ups the ante with even more explicit sex and a key climactic battle sequence that wouldn't be out of place in the likes of lord of the rings. despite these cinematic elements, however, the focus remains on intricate characterisation and that's what holds this show together, no matter how many truly fantastic elements are thrown into the mix.season threeseason 3 offers more of the same, with some particularly vicious torture sequences and lots more twists and turns as the plot develops. and while it's hard to pick out a season that's superior to the others, i can safely say that, when it comes, the red wedding is undoubtedly the highlight of the show so far; a stunning, unforgettable set-piece that never lets you go. strong stuff indeed, just as i'd expect from what is the best thing on television at the moment.season fourthings remain on a high-quality level with season 4 of the show, which i think is an improvement on the previous season (as good as it was). there's no long-winded journey here with characters meeting their inevitable fate in episode 9 as there was in season 3; instead it all feels fresh and inventive, and all of the major story lines are packed with peril and incident. neil marshall's epic battle in episode 9 is the highlight, but peter dinklage contributes some excellent acting and rory mccann has never been better as the hound. by all accounts this is the last season to stick closely to the plot of the martin novels, so i can't wait to see where season 5 goes.season fiveseason 5 sees the show no longer at the top of its game but it still packs a wallop as a prime piece of tv and it nevertheless knocks spots off the competition. i'd probably give this a 9/10 purely because some of the scripted lines are weak, there's a greater reliance on extraneous sex and nudity than in the previous couple of seasons, and some of the characters could have been written better. it's nonetheless as rousing as ever, with some great twists, some truly shocking character deaths, and stunning production values. the first seven episodes build up to an electric trio at the climax, with the episode 'hardhome' containing the best set-piece of the entire series so far.season sixseason 6 picks up from the previous season to provide a better quality viewing experience all round. gone are most of the extraneous story lines, with only a handful of dumb humour scenes left in. things feel more vital here, more important than ever, and more dangerous. i particularly liked the way that the writers go out of their way to re-introduce old characters and tie up loose ends which they do very well. as before, things build to an incredible last couple of episodes, and as ever i'm left eagerly awaiting the next series.season seventhis penultimate season of the show is very much in end-game territory. there are only 7 episodes and they move incredibly fast, so that characters appear to be teleporting all over the world given the speed of their travel. there are less characters now so those that remain have to do more, while the spectacular, dragon-oriented action is better than ever before, with the stand-out episodes being four and six in that respect. the north-of-the-wall material is quite incredible, in fact, and harks back to the highs of hardhome. the rest is expensive, expansive, and thoroughly engaging, as ever.season eightas for the final season, well, it gets a lot of flak here on the internet...but i loved it. six short episodes, the first couple of which are strong in terms of scene setting. the third episode is the big siege, a little dark and death-free for my liking, but otherwise up there with other fantastic siege stories done right on screen such as the two towers. the fourth episode is the weakest with some excruciating moments, but the fifth might well be the best episode of all, filled with heightened drama and terrific on-screen destruction. the final episode is weaker and ends with some excruciating happy-ever-after material, but the criticisms i have aren't enough to detract from a more than satisfying end to the show."
2019-05-20,snoopystyle,watercooler,9,"in the fictional seven kingdoms of westeros, the ruler sits on the iron throne. it's a story of various characters fighting to gain the throne, influence the throne, or survive the throne. there are white walkers, giants, dragons, and a big ice wall.this follows the george r. r. martin series of fantasy novels, at least for the earlier seasons. this hbo show lasted 8 seasons, 6 of which are the pinnacle of prestige tv. in our fragmented tv world, this may be the last of the watercooler shows. people are eager to watch it on its first airing and eager to discuss it with their friends right away. people binge to catch up so they can join the conversation. the writing is great. the production is cinematic. no spoilers in this review. just binge and enjoy."
2018-01-06,hitchcoc,A Need Fulfilled,10,"i am writing this because according to the imdb user ratings, i have not commented. i have reviewed all the individual episodes, but not the show as a whole. there is little that i can add to the impact of this show. i am proud to be on the same planet as those who created and put this work into fruition. when one looks at the technical accomplishments and the multiple plot strains that have been kept in balance, it is truly a wonder. i know that there are those who can never get past the ""book did this"" and ""the book did that."" we have to come to realize that it is impossible to recreate every nuance that fiction allows and that occasionally characters must be dropped and events assumed. for me, i have approached these as the artistic creations they are,-as film (and television, at that). i have the books. i've not read them but plan to at some point. i doubt at this late stage of my life there will ever be another series to match this. i like fantasy but am not ruled by it as a genre. but this is for us all. if you've not seen it, treat yourself."
2019-04-14,kirpianuscus,I am not its fan...,9,"i am not one of its fans. for its childish stories, for the feeling after a season biging. but its virtues are many. and real. from performances of great actors to magnificent use of cgi. for the portraits and for something who you feel authentic and slice of near reality. for the tension and for high care to details. for music and for the mark of hbo. for the sides of cruelty and references to mythologies and medieval history. for a sort of genius to reflect contemporary realities. and, especially, for the touching portraits of kindness, duty spirit and sacrifice. for me, it is not a film of a story but the film of its characters. and lovely actors. a parable , serie.yes, i am not its fan. but i admitt - a am dependent by it. first, for the inspiration to use old great actors , from diana rigg to max von sydow. and, sure, for the great performances of young actors, from emilia clarke to maisie williams. the great virtue of serie - to remind the taste of classic fairy tales. and the charme, so seductive charme of them."
2019-05-26,kirpianuscus,the final taste,10,"after its end, expecting the prequel, the things are more clear. it is a great show. not only for the status of adaptation but for the science to be answer to many other adaptation. it is a serie of characters and their stories , more than the serie of a story itself. it is a modern fairy tale , the values and sins and failures and virtues are the same. it is a perfect trip guide across history lessons and the near every day reality. it is the perfect door to a fantastic - realistic universe. and, sure, it is got. not the lord of the rings, not lost, not the tudors or spartacus. just and only goot. the last season reminds this basic truth. dragons and cruel revenge ( many from us are expressions of frustrations and drawings of wrath), old sandals and swords in new version, sex and battles and traitors, and a drop of relation luke and anakin skywalker. and the end, the so infamous end for many from us, it is real perfect. for a simple reason- it is the fair eulogy of memory of humankind and the right gift to the small details defining us behind appearences. it remains, for me, more than a show, an adventure. eight seasons. long months expecting the next season. impressed by cruelty, in naked expressions, by courage and generosity and loyalty. by few splendid characters. by powerful scenes as the deaths of hodor or tommen baratheon. shocked by the execution of nedd stark, ball of feelings behind red wedding. feeling the radical transformation of daenerys , episode by episode, admiring the battle of winterfel, being impressed by the hard, almost crazy work of entire team. and admiring great actors doing , in impecable manner, theirs job. so, the final taste is marked by profound gratitude.including daniel banioff and d. b. weiss."
2020-01-02,kosmasp,A long time coming,8,"so i succesfully avoided major spoilers about the show and could binge watch this since the complete box set came out in early december. the first season was a bit overwhelming, what with all the houses and characters thrown at you. as you may be able to tell, i have not read the source material. not sure who of the cast had read it beforehand either. so bare that in mind.now the line winter is coming is something everyone associates with the show, i just never expected this to come up so early in the show. what is surprising, at least during the first seasons of the show, is how many supposedly main characters fail to survive. this keeps the viewers on their tows. towards the end of the show this gets a bit watered down. not sure how much influence the original author had there (he had only written material for the first 6 seasons of the show, the rest was made up).having said that, you can feel a drop in quality. and while i have friend who thought the second season was boring (it's a bit of a travelling show and things get stretched quite a bit), if he continued to watch, he might feel even worse with the last seasons. even though they are shorter (episode wise, not time wise per episode), they feel stretched even more.also the conclusion (no worries, i'm not telling) is anticlimatic to say the least. it feels bad and the continuity errors are just thrown aside. so if not for the epic battles and the actors, who are all really amazing in this, i might have gone farther down with my vote. then again, if it wasn't for the last season specifically, i might have given it a 10 too ... a prequel show has been axed for now (not sure if the bad reviews and or numbers for the last season played a role), but i would watch it. this achieved overall something that ""the reign"" could not: combine violence, fantasy and nudity into something mature/adult that works for men and women watching"
2021-09-13,classicsoncall,"""There's nothing more powerful in the world than a good story."" - Tyrion Lannister, Episode #8.6",7,"with over five thousand reviews already posted here for ""game of thrones"", there's really nothing i think i could add to indicate what an epic, kingdom spanning series this turned out to be. as is often the case, i'm late to the party for this program, but on the flip side, i was able to watch the entire series relatively uninterrupted over a span of a few weeks. the story telling and characters are spell binding, with twists that sometimes come out of nowhere that leave you gasping. not even the principals are immune, leading characters are often discarded just as you were beginning to relate to them, and often in a manner that's nasty and bloody. for a series this massive in scope, it would be hard to pick out a favorite character; up until the last season mine would have been daenerys targaryen stormborn (emilia clarke), with tyrion lannister (peter dinklage) a pretty close second. i think the reason so many folks were dismayed by the eighth and final season was because it ended by going against the grain of most viewers' expectation that jon snow (kit harington) would emerge as the king of the seven kingdoms, or at least a co,ruler with daenerys. my own feeling gravitated toward brandon the broken (isaac hempstead wright) around the time he became the three eyed raven. if you haven't seen this series yet, you might be intrigued enough to catch it after learning what cersei lannister (leana heady) stated to ned stark (sean bean) in episode #1.7 - ""when you play the game of thrones, you win, or you die."""
2015-04-07,lee_eisenberg,"all fight for prestige, even when none is apparent",10,"i understand that george r. r. martin based ""a song of ice and fire"" on various and sundry wars and conquests throughout europe's history. indeed, the characters on ""game of thrones"" seem to have no aim except to fight for control of westeros. it is as though their quest for prestige has become an excuse to spend eternity fighting.i should note that this show is not for children. it's one of the most violent shows that i've ever seen. seriously, they leave little to the imagination. i've never read the books on which the series is based, but the series doesn't dumb anything down (understanding of course that it's fantasy).having just binge,watched the first season, i recommend the show. really impressive."
2015-09-05,jboothmillard,Game of Thrones,8,"this was a show i had heard a lot about, i assumed it was one with a cult following, in fact it has become more and more popular as time and seasons go by, so i decided to get into it as well. basically the show is based on a series of fantasy novels by george r. r. martin, it is set in the fictional continents of westeros and essos in the seven kingdoms (the north, the iron islands, the vale, the westerlands, the stormlands, the reach, and dorne). there are three narratives that go on throughout the show, the first being a civil war among several noble houses for the iron throne of the seven kingdoms, the second being attempts to exile the descendants of the ruling dynasty to reclaim the throne, and the third being the rising threat of the inpending winter and fierce creatures and fierce people from the north. within in the series are several plots and story lines, and a broad ensemble cast of characters, said to be the largest in television history, and winning a guinness world record for this. starring golden globe and emmy winning and four,time nominated peter dinklage as tyrion lannister, twice emmy nominated lena headey as cersei lannister, twice emmy nominated emilia clarke as daenerys targaryen, kit harington as jon snow, sophie turner as sansa stark, iain glen as jorah mormont, maisie williams as arya stark, nikolaj coaster-waldau as jaime lannister, john bradley as samwell tarly, alfie allen as theon greyjoy, aidan gillen as petyr 'littlefinger' baelish, jerome flynn as bronn, conleth hill as lord varys, charles dance as tywin lannister, rory mccann as sandor 'the hound' clegane, gwendoline christie as brienne of tarth, julian glover as grand maester pycelle, jack gleeson as joffrey baratheon, michelle fairley as catelyn stark, isaac hempstead wright as bran stark, ian mcelhinney as barristan selmy, stephen dillane as stannis baratheon, ben crompton as eddison tollett, nathalie emmanuel as missandei, mark stanley as grenn, daniel portman as podrick payne, liam cunningham as davos seaworth, richard madden as robb stark, natalie dormer as margaery tyrell, kristian nairn as hodor, sibel kekilli as shae, carice van houten as melisandre, finn jones as loras tyrell, hannah murray as gilly, rose leslie as ygritte, kristofer hivju as tormund giantsbane, michael mcelhatton as roose bolton, joe dempsie as gendry, jacob anderson as grey worm, ian beattie as meryn trant, owen teale as alliser thorne, vicious's iwan rheon as ramsay snow, dominic carter as janos slynt, donald sumpter as maester luwin, natalia tena as osha, esmé bianco as ros, brenock o'connor as olly, ron donachie as rodrik cassel, josef altin as pypar, amrita acharia as irri, eugene simon as lancel lannister, michiel huisman as daario naharis, james cosmo as jeor mormont, tom wlaschiha as jaqen h'ghar, dean-charles chapman as tommen baratheon, luke barnes as rast, art parkinson as rickon stark, sean bean as eddard 'ned' stark, three-time emmy nominated dame diana rigg as olenna tyrell, oona chaplin as talisa maegyr, peter vaughan as maester aemon, anton lesser as qyburn, roxanne mckee as doreah, ben hawkey as hot pie, brian fortune as othell yarwyck, tara fitzgerald as selyse baratheon, love actually's thomas brodie-sangster as jojen reed, kerry ingram as shireen baratheon, jason momoa as khal drogo, indira varma as ellaria sand, roger ashton-griffiths as mace tyrell, ellie kendrick as meera reed, gethin anthony as renly baratheon, charlie and the chocolate factory's noah taylor as locke, steven cole as kovarro, callum wharry as tommen baratheon, aimee richardson as myrcella baratheon, mark addy as robert baratheon, francis magee as yoren, scorpion's elyes gabel as rakharo, mackenzie crook as orell, paul kaye as thoros of myr, blunder's tony way as dontos hollard, josephine gillan as marei, jonathan pryce as high sparrow, ciarán hinds as mance rayder, robert pugh as craster, the grey's nonso anozie as xaro xhoan daxos, clive russell as brynden 'blackfish' tully, casino royale's tobias menzies as edmure tully, jessica henwick as nymeria sand, harry potter's ralph ineson as dagmer cleftjaw, nell tiger free as myrcella baratheon, harry potter's david bradley as walder frey, mark gatiss as tycho nestoris, star wars' oliver ford davies as maester cressen, the crystal maze's edward tudor-pole as protester, ian mcshane and max von sydow as three-eyed raven. to be completely honest, i cannot keep up with absolutely every storyline going on, because there are so many characters, in fact i have probably only memorised less than ten of the character names. the biggest reason i keep watching is because of the exciting fight and chase scenes when they happen, the great special effects to bring dragons, ghosts, zombie and all other mythical creatures to life, the over-the-top bloody violence and deaths, and the frequent nudity and sexual activity. this does not mean i do not like the show overall, i am always interested to see what will happen next with the faces of the characters i recognise, so it is certainly a worthwhile fantasy drama. it was nominated the golden globe for best television series – drama (twice), it won the primetime emmys for outstanding art direction for a single-camera series (also nominated), outstanding costumes for a series (also nominated twice), outstanding makeup for a single-camera series (non-prosthetic) (twice, also nominated), outstanding sound editing for a series (also nominated three times), outstanding sound mixing for a comedy or drama series (one-hour) (also nominated twice), outstanding special visual effects (twice, also nominated twice), and it was nominated for outstanding casting for a drama series (four times), outstanding cinematography for a single-camera series, outstanding directing for a drama series (four times), outstanding drama series (twice), outstanding hairstyling for a single-camera series (three times), outstanding prosthetic makeup for a series, miniseries, movie or a special (four times), outstanding single- camera picture editing for a drama series (three times) and outstanding writing for a drama series (three times). it won the bafta for the audience award (also nominated), and it was nominated for best international. very good!"
